headX,headY,spineShoulderX,spineShoulderY,spineBaseX,spineBaseY,shoulderRightX,shoulderRightY,shoulderLeftX,shoulderLeftY,elbowRightX,elbowRightY,handRightX,handRightY,elbowLeftX,elbowLeftY,handLeftX,handLeftY
107.20912,252.62108,107.3192,252.69305,107.36853,252.73224,107.43414,252.74144,107.46661,252.75064,107.50197,252.7517,107.48961,252.74942,107.48872,252.75803,107.51807,252.77432
107.56264,252.78708,107.72969,252.78554,108.00835,252.7077,108.92976,252.59692,109.53462,252.38591,110.07866,252.12048,110.92955,251.46507,111.431274,251.41827,111.897705,251.24637
112.406876,250.85909,114.83307,249.32678,113.72771,250.37775,113.12169,250.44426,112.41998,250.5263,111.57129,250.55423,110.804184,250.60187,110.37689,250.29633,109.92676,250.47684
109.59334,250.69029,109.301346,250.77943,109.05025,250.87335,108.92871,250.92645,108.7876,250.99135,108.6487,251.09418,108.559204,251.16669,108.419235,251.2666,108.27861,251.3783
108.17465,251.46878,108.0945,251.52861,108.02971,251.58,107.955765,251.6722,107.89943,251.72769,107.833466,251.69435,215.33679,196.78812,107.67079,251.58594,215.33844,196.78679
107.54936,251.45699,215.42795,196.89241,107.31717,251.31474,215.55052,197.21426,107.19331,251.15202,215.65976,197.3825,107.05617,250.95778,215.75554,197.55379,106.92789,250.82393
215.79762,197.64513,106.80441,250.63692,215.8586,197.73727,106.70761,250.3871,215.9104,197.82877,106.67674,250.05492,219.67134,199.7953,106.777435,249.91907,216.54274,194.70444
106.964096,249.73183,216.58885,194.40013,107.11635,249.64,216.64859,194.16464,107.27341,249.58524,216.68468,194.00887,107.52043,249.5504,216.70645,193.85884,107.717896,249.55952
216.72246,193.7512,107.91771,249.48082,216.73004,193.68134,108.11212,249.46086,216.74324,193.61841,108.29753,249.47513,216.75874,193.54588,108.69542,249.49844,216.76355,193.48988
109.09393,249.55927,216.76561,193.45291,109.37581,249.63077,216.76611,193.39548,109.72366,249.68365,216.77051,193.36969,110.00192,249.73042,216.771,193.33113,110.26724,249.89435
216.78673,193.2804,110.54347,250.03848,216.78546,193.24905,110.82817,250.20975,216.77989,193.20575,110.86835,250.23251,216.76959,193.16403,111.229904,250.3808,216.74158,193.12198
111.29236,250.38437,216.71129,193.03993,111.39032,250.40096,216.69473,192.97229,111.502716,250.43579,216.69315,192.94026,111.59445,250.46259,216.6976,192.92355,111.68938,250.44946
216.69394,192.90485,111.75705,250.45056,216.69554,192.90692,111.80748,250.4758,216.69371,192.90915,111.8616,250.47797,216.69193,192.91649,111.90245,250.44191,216.69543,192.97263
111.925446,250.395,216.71509,193.04945,111.92787,250.38544,216.72894,193.05215,111.90669,250.33578,216.78448,192.95187,111.89386,250.3137,216.86548,192.76357,111.87271,250.28775
216.94037,192.64577,111.756805,250.26227,216.98076,192.58977,111.66754,250.24297,217.01889,192.5846,111.46582,250.22414,217.05966,192.60265,111.23427,250.2771,217.10997,192.64415
110.935715,250.28932,217.1582,192.6999,110.66792,250.31386,217.20831,192.72359,110.3638,250.37024,217.23563,192.73389,110.044525,250.42297,217.23285,192.73906,109.71921,250.47502
217.21822,192.7464,109.4153,250.55092,217.19937,192.7548,109.13327,250.62988,217.18486,192.7505,108.881165,250.71313,217.15646,192.7381,108.69113,250.75647,217.13556,192.72812
108.51227,250.81631,217.11058,192.70627,108.358444,250.84506,217.10226,192.71425,108.2222,250.8956,217.09258,192.72214,108.12187,250.9018,217.09807,192.72943,108.03572,250.9226
217.09926,192.74069,107.889206,250.92584,217.1062,192.74937,107.70723,250.87358,217.107,192.75813,107.504364,250.811,217.10031,192.768,107.18573,250.69136,217.11255,192.7698
106.773026,250.65189,217.11638,192.77104,106.03505,250.61821,217.11688,192.7866,105.087875,250.53822,217.11334,192.81659,101.859406,249.61096,217.1301,192.81758,99.95337,248.36479
217.16714,192.81139,97.61969,246.84436,217.17548,192.80174,94.852005,244.84685,217.17813,192.8028,92.82756,243.6638,217.18643,192.81895,90.721085,242.65738,217.19229,192.82852
88.77942,240.8466,217.19814,192.83228,86.287476,238.8355,217.19507,192.83348,83.81206,237.01614,217.18825,192.83138,81.88017,235.95848,217.18518,192.82533,79.883224,234.7656
217.17976,192.82693,78.29642,233.74873,217.17479,192.83202,77.47598,232.82887,217.1383,192.85777,77.05351,232.10085,217.11565,192.88109,77.265656,231.28731,217.10359,192.88445
78.07686,230.33073,217.09418,192.89153,78.72838,229.7134,217.07416,192.88673,78.72838,229.7134,217.07416,192.88673,79.49423,229.17978,217.0711,192.88765,80.26871,228.84808
217.05856,192.87582,324.25674,236.08455,80.91791,229.02087,217.04608,192.87552,324.36005,236.04219,81.48334,228.92018,217.03189,192.87332,324.58978,236.02075,81.86952,228.73688
217.02545,192.87549,324.99875,235.95227,81.87265,228.6961,217.01178,192.87892,325.46957,235.83987,81.81171,228.589,216.99426,192.87009,326.14813,235.58118,81.501816,228.37257
216.98795,192.8588,326.7336,235.3461,80.38982,228.33994,216.98383,192.83563,327.455,235.2149,79.70973,228.56035,216.98845,192.82292,327.76187,235.10187,79.70973,228.56035
216.98845,192.82292,327.76187,235.10187,79.70973,228.56035,216.98845,192.82292,327.76187,235.10187,77.66139,227.6541,216.99428,192.8252,328.3311,234.9812,77.30095,226.99112
217.00244,192.82552,328.73486,234.91986,77.34088,226.69414,217.00397,192.82637,328.84467,234.95923,77.35741,226.3198,217.00433,192.82848,328.8799,235.12903,77.63495,226.23315
217.01436,192.83916,328.9937,235.30286,78.03937,225.94054,217.0108,192.84326,329.05078,235.40475,78.51608,225.763,217.0106,192.84296,329.1491,235.4611,79.064835,225.47913
217.00885,192.8458,329.17242,235.54457,79.4391,225.28789,217.00575,192.84491,329.18857,235.61511,79.73343,225.0751,217.0099,192.85815,329.24603,235.68803,80.03682,224.84004
217.0079,192.86092,329.24783,235.7083,80.31473,224.72543,217.00809,192.86263,329.14014,235.87173,80.4805,224.6385,217.00685,192.86708,329.12173,235.97264,80.59717,224.6121
217.00589,192.86734,329.11514,235.98991,80.68741,224.51154,217.00626,192.86742,329.1006,236.0102,80.775024,224.46756,217.00536,192.86674,329.06403,236.05443,80.82114,224.4075
217.00949,192.86523,328.98825,236.15193,80.90344,224.3623,217.01016,192.85925,328.90042,236.31943,80.98538,224.29944,217.0104,192.85266,328.80255,236.45041,81.05231,224.27905
217.01686,192.85022,328.78485,236.54604,81.11778,224.27287,217.02057,192.84341,328.7602,236.5847,81.18338,224.26659,217.02513,192.83731,328.7697,236.6295,81.262024,224.2393
217.02837,192.81316,328.78555,236.96252,81.32794,224.23488,217.02905,192.81178,328.70093,237.06006,81.36403,224.23015,217.02924,192.81035,328.5508,237.31741,81.50629,224.22437
217.0299,192.81023,328.3974,237.49205,81.54715,224.22118,217.03,192.81435,328.17923,237.69414,81.599396,224.19856,217.03252,192.82182,327.86603,237.91461,81.68234,224.18915
217.02972,192.84375,327.578,237.99646,81.72034,224.17834,217.02231,192.87616,327.40018,238.0518,81.814514,224.1641,216.99655,192.91556,327.1546,238.13791,81.94057,224.13171
216.9742,192.98225,326.96045,238.23409,82.02777,224.11772,216.93721,193.04187,326.81635,238.32143,82.11725,224.12674,216.93173,193.0967,326.6655,238.37303,82.223755,224.09431
216.91145,193.13759,326.51126,238.44748,82.339096,224.10922,216.88445,193.17017,326.39124,238.45724,82.47545,224.12772,216.86415,193.22577,326.28433,238.48717,82.538864,224.14243
216.84306,193.24893,326.16058,238.54692,82.6517,224.12505,216.8217,193.27516,326.04242,238.57715,82.74817,224.13173,216.80946,193.34781,325.97208,238.60794,82.84515,224.1445
216.80313,193.38397,325.8952,238.65482,82.92706,224.15541,216.79326,193.3942,325.7792,238.73819,83.05029,224.1113,216.78735,193.39948,325.7294,238.76402,83.113754,224.06477
216.78401,193.40538,325.62628,238.7923,83.21422,224.04909,216.78374,193.40082,325.58716,238.76491,83.261475,224.03482,216.7857,193.39621,325.50543,238.80809,83.32915,224.02977
216.79251,193.38452,325.4431,238.7994,83.37143,223.99617,216.8044,193.36765,325.38776,238.83368,83.41136,223.97182,216.83194,193.33308,325.3745,238.83539,83.48941,223.97258
216.84485,193.27028,325.28656,238.83662,83.573654,223.95662,216.88254,193.21632,325.27325,238.81024,83.67424,223.92825,216.95792,193.1025,325.26035,238.85672,83.71388,223.94424
217.03654,193.02618,325.26758,238.90651,83.7993,223.91148,217.13004,192.97917,325.30493,238.90244,83.83867,223.89085,217.15195,192.97896,325.3843,238.83041,83.85167,223.8787
217.171,192.97705,325.46436,238.80743,83.9319,223.8892,217.1788,192.97234,325.55176,238.80884,83.974075,223.89919,217.19077,192.96457,325.66193,238.80328,83.99428,223.91351
217.19499,192.96931,325.8027,238.71608,84.00476,223.90924,217.19012,192.97054,325.79074,238.69653,84.03276,223.93274,217.18146,192.97481,325.82202,238.69505,84.05008,223.95111
217.1494,193.05392,325.731,238.6639,84.07445,223.96289,217.11736,193.1106,325.56342,238.75061,84.08562,223.96887,217.07935,193.17114,325.30832,238.77475,84.11017,223.97626
217.04124,193.22287,324.9461,238.70964,84.13217,223.98167,217.00633,193.28966,324.656,238.62836,84.152466,223.97562,216.9978,193.33438,324.42072,238.56818,84.204834,223.98352
216.97977,193.35512,324.22034,238.4073,84.263855,223.9926,216.96243,193.37894,324.19214,238.23898,84.29788,224.00687,216.9573,193.3782,324.20065,238.02982,84.32147,223.9963
216.95044,193.37794,324.25916,237.91788,84.34778,223.99693,216.95273,193.36836,324.4652,237.76733,84.40549,223.99884,216.95357,193.35435,324.8405,237.57373,84.425644,223.95862
216.96277,193.32785,325.25464,237.52252,84.44791,223.9481,216.96808,193.27577,325.8675,237.39731,84.47388,223.9712,216.99033,193.2181,326.55872,237.23375,84.477936,223.9574
217.03256,193.16313,327.2085,237.1459,84.48648,223.96443,217.06818,193.1386,327.9082,237.23401,84.4978,223.96321,217.11882,193.09822,329.03772,237.1854,84.50989,223.97697
217.1858,193.04765,329.8687,237.30238,84.517944,223.96597,217.235,193.02138,330.80963,237.30173,84.53323,223.96152,217.27258,193.01277,331.6402,237.31934,84.55362,223.96533
217.3153,192.99977,332.55038,237.26724,84.55289,223.9587,217.3265,192.99332,333.02148,237.31844,84.57526,223.9597,217.35132,193.0009,333.48938,237.31828,84.585205,223.97086
217.38416,193.0184,333.81653,237.41428,84.60121,224.04808,217.42224,193.06113,334.18936,237.33296,84.531876,224.35684,217.44838,193.08356,334.39398,237.36572,84.44252,224.95897
217.4669,193.11499,334.54944,237.33667,84.1992,225.49806,217.49327,193.13078,334.60568,237.35233,84.04343,226.25375,217.51698,193.16762,334.68832,237.32901,83.9211,226.79991
217.53137,193.2202,334.72662,237.28156,84.09262,227.22726,217.5476,193.27782,334.7736,237.22292,84.2538,227.72462,217.55208,193.29599,334.7755,237.23056,84.36824,228.17734
217.55338,193.3149,334.78168,237.18065,86.01283,228.7078,217.581,193.33801,334.77063,237.18864,86.95955,228.89798,217.5827,193.34505,334.76254,237.19472,87.871994,228.78906
217.58618,193.34404,334.74252,237.20805,89.70468,228.23965,217.58888,193.34204,334.7295,237.2056,91.235565,227.59709,217.60011,193.33664,334.71997,237.19336,94.30974,227.72801
217.60574,193.3313,334.69226,237.20486,96.47963,228.09018,217.62717,193.30829,334.64642,237.22366,100.386246,228.51135,217.65157,193.31068,334.55988,237.28467,100.386246,228.51135
217.65157,193.31068,334.55988,237.28467,102.41882,228.95197,217.68318,193.30824,334.425,237.3791,106.24138,231.33148,217.73729,193.29086,334.05927,237.45439,106.24138,231.33148
